Main Category,Subcategory,YouTube Shorts Links,Generated Caption,Channel Title,Captions,Sample Comments,posted,post id
Funny Memes and Jokes,Trends & Memes,https://www.youtube.com/watch?v=lG4GEpyULwU,"""Did they just ballet dance their way into our hearts? 😍🩰 This is too good! What’s your favorite couple dance trend? #dance #couplegoals""",Jasmin and James,Captions available,Hey family! First of all thank you so much for the constant love and support we can’t believe we are approaching 5M Subs! 🥹 On another note we are about to hit 2M on Instagram! So feel free to follow us over there if you haven’t already!!! 🥰; 4😂😂😂!!; 3 just hit diffrent,True,bPZrUKS59IXNLxd7BQFa
Funny Memes and Jokes,Trends & Memes,https://www.youtube.com/watch?v=v0yuXRODQqk,"""Okay, but why is this trend giving me chills? 😱😂 Who else is low-key obsessed? #ScaryTrends #MoreJT""",More JT,Captions available,Me focusing on the lyrics<br>Nah me focusing on the filter😂; Don&#39;t do what; I can keep a secret can you  🤐,True,Juy1qo6D1kEE34ZJbgHl
Funny Memes and Jokes,Trends & Memes,https://www.youtube.com/watch?v=cdfK1iH-O0o,"""Just when you think you've seen it all, these memes hit different! 😂 Which one made you laugh the hardest? #memes #XavierReacts""",xavier teacher,No captions available,I could already see what was happening. I wasn&#39;t about to fully put my nose on the dot.😐; Ayoo; Sniff snif👃🏻,True,4sQBuIAECvlof0cIH6ZL
Funny Memes and Jokes,Trends & Memes,https://www.youtube.com/watch?v=f8XBc9m32Io,"""😂 Did they really think they could fly? These SUPERMAN fails are next level! What’s your favorite moment? #dancefails #trending""",Joann_642,No captions available,That last one..😮; That last one GoT mE tRiPiN; why people are trying to repeat this trend? it’s so hurtful and a bit stupid,True,mq30j91l24IpkhFepMdi
Funny Memes and Jokes,Trends & Memes,https://www.youtube.com/watch?v=UEN42r3jesc,"""These memes hit different! 😂💥 Which one was your favorite? Let’s hear your thoughts! #Memes #BoysOnly""",Hilarious MEME Hub,Captions available,"Im a girl, can someone please explain?; They Call Us Dirty Minded In Infinite Language☠️; can someone explain the Frodo part? I don’t get it😅",True,L79Wj3WUCSMjh8gr4BFQ
Funny Memes and Jokes,Stand-up Comedy,https://www.youtube.com/watch?v=P1CRe5BSMoE,"""Wait, did he really just say that?! 😳😂 I can't stop laughing! Who else needs to see him live?! #standupcomedy #LOL""",Michael Blaustein,Captions available,😂 I love it when people say that they are the best at it and they are the worst at it and I love it so much; I would love to see  this guy live . 😂; I broke my left knee and that happened,False,
Funny Memes and Jokes,Stand-up Comedy,https://www.youtube.com/watch?v=JlXNGprnjYs,"""Older men are a whole vibe! 😂 Who else has got some wild stories from their dads or grandpas? #ComedyGold #StandUp""",Taylor Tomlinson,Captions available,"I have scanned about 900 photographs my Maternal grandfather took from 1900 to 1920. A couple of photographs are of him and some friends on Santa Monica beach. In one of them, he has his hand around a girl where he might have gotten slapped. In another,, hte is in a teenager&#39;s room. There are a number of 1915 calendars with women on them. On one,, the woman&#39;s dress is hiked well above her knee.; 😂😂😂multifaceted...Outgoing,,Facetious,,,1 OF A KIND UNIQUE ENIGMA ....OH<br>..NO, sweetie....I MEANT ME😂😂😂😂😂J/K...but not really; i bet she got an old dusty box",False,
Funny Memes and Jokes,Stand-up Comedy,https://www.youtube.com/watch?v=bLCkiVTnLqw,"""Brad’s got a point! 😂🚽 Who else has had a urinal showdown? Let's hear your funny bathroom stories! #Comedy #LOL""",laugh out loud flix,Captions available,😂😂😂; 😂😅😊🎉🎉🎉❤❤❤!!@; Good thing my 5 month old son Zachary is just about your size so he’s good to use it lol,False,
Funny Memes and Jokes,Stand-up Comedy,https://www.youtube.com/watch?v=edlqei6bdaw,"""Just watched Matt Rife school those red flags! 😂 Who else is here for the comedy roast? #ToxicCouples #StandUp""",Matt Rife,Captions available,Best friend 😅; The funniest thing about this that people actually think it&#39;s funny 😂😂😂😂; Lmao,False,
Funny Memes and Jokes,Stand-up Comedy,https://www.youtube.com/watch?v=CdaXTGsMU9A,“SF vs. Boston? 😂 Hanna nailed it! Who’s got the better vibe? Let’s hear your thoughts! #comedy #HannaEvensen”,Don't Tell Comedy,Captions available,"I’m mentally disabled, (autism) and I don’t prefer the term “special needs.” It sugar coats the fact that we are disabled, and censors it. Same goes for the term “differently abled” i am not to be treated with pity respect terms because you think my disability makes my brain to the equivalent of an infant baby; Excellent insight.; well she is kinda pretty and kinda funny.",False,
